Nome,Ingredienti,Prezzo
Beach,Mozzarella  patè di olive  peperoni salsiccia,€9.00
Bosco,Mozzarella  panna  funghi di bosco  speck,€9.00
Del Re,Mozzarella  tonno  acciughe  cipolla  olive nere  capperi,€9.00
Delicata,Mozzarella  porcini  bresaola  rucola  grana,€9.00
Estate (Caprese),Mozzarella di bufala  pomodorini  olio d'oliva basilico  origano,€9.00
Lido,Mozzarella  olive nere  cipolla  Crudo di Parma,€9.00
Primavera,Mozzarella  pomodorini  mais  rucola  grana,€9.00
Del Pescatore,Mozzarella carpaccio di pesce spada affumicato olive nere  capperi  datterini  acciughe  salamino  origano.,€12.00
"Tartufata",Crema al Tartufo Bianco  Porcini  Bufala Campana,€12.00
Peggy,Pomodoro  Mozzarella  Porcini  Radicchio  Gorgonzola  Speck,€9.00
"Del Capitano",Pomodoro   Mozzarella   gorgonzola  cipolla   pesce spada affumicato,€11.00
"La Zingara",Pomodoro Mozzarella Salamino piccante Salsiccia salsa Zingara,€9.00
"Pizza Pac",Pancetta  Asparagi crema di Carote Mozzarella,€9.00
Invidia,Pomodoro Mozzarella Cipolla Gorgonzola Dolce Pesce Spada Affumicato,€10.00
Saporita,Pomodoro Mozzarella Asiago  Crudo di Parma  funghi di Bosco,€10.00
Montanara,Pomodoro  Mozzarella  funghi di bosco  salsiccia  Speck del Trentino,€10.00
Mediterranea,Pomodoro  Bufala Campana  pomodori secchi di Puglia  olive di Gaeta  Salame piccante Napoli  origano,€11.00
Briosa,Mozzarella  Briè  Carciofi  Cotto alla Brace,€10.00
Maya,Pomodoro  Mozzarella  mascarpone  noci  radicchio,€7.00
Del Muratore,Pomodoro  Mozzarella  salsiccia  melanzane  funghi freschi,€9.00
Deliziosa,Pomodoro  Mozzarella  tonno  gamberi  funghi freschi,€10.00
Del Fabbro,Pomodoro  Mozzarella  prosc. cotto  funghi trifolati  carciofi  salsiccia  salam. picc.  pancetta pepata,€11.00
Boscaiola,Pomodoro  Mozzarella  funghi di bosco  salsiccia,€9.00
Bufala,Pomodoro  Mozzarella di bufala,€8.00
Calzone,Mozzarella  prosc. cotto  funghi  Pomodoro all'uscita,€10.00
Capricciosa,Pomodoro  Mozzarella  prosc. cotto  funghi  carciofi,€8.00
Diavola,Pomodoro  Mozzarella  salamino piccante,€5.00
Frutti di mare,Pomodoro  Mozzarella  frutti di mare (di produzione propria),€14.00
Greca,Pomodoro  Mozzarella  olive verdi  olive nere,€6.00
Inglesina,Pomodoro  Mozzarella  Crudo di Parma,€8.00
Margherita,Pomodoro   mozzarella,€4.00
Marinara,Pomodoro  olio d'oliva  aglio,€4.00
Napoli,Pomodoro  Mozzarella  acciughe  origano,€6.00
Parmigiana,Pomodoro  Mozzarella  melanzane  grana,€7.00
Prosciutto Cotto,Pomodoro  Mozzarella  prosc. Cotto,€5.00
Prosc. e Funghi,Pomodoro  Mozzarella  prosc. cotto  funghi,€7.00
Pugliese,Pomodoro  cipolla  origano,€5.00
4 Formaggi,Pomodoro  Mozzarella  tre formaggi  gorgonzola,€8.00
4 Stagioni,Pomodoro  Mozzarella  prosc. cotto  funghi  carciofi  salsiccia,€9.00
Romana,Pomodoro  Mozzarella  acciughe  capperi,€6.00
Rustica,Pomodoro  Mozzarella  salsiccia  patatine fritte,€7.00
Salsiccia,Pomodoro  Mozzarella  salsiccia,€5.00
Schiacciatina,olio d'oliva  sale  aromi,€4.00
Tonno e Cipolla,Pomodoro  Mozzarella  tonno  cipolla,€6.00
Vegetariana,Pomodoro  Mozzarella  verdure miste,€8.00
Wurstel,Pomodoro  Mozzarella  wurstel,€5.00
Bella Napoli,doppio impasto  Pomodoro  Mozzarella di bufala  origano  basilico,€9.00
Carbonara,Pomodoro  Mozzarella  panc. affumicata  uovo  cipolla,€9.00
Gustosa,Pomodoro  Mozzarella  panc. pepata  sals.  salam. picc.  grana,€9.00
Super Diavola,Pomodoro  Mozzarella  salamamino piccante  peperoni  cipolla  salsa super piccante della casa,€9.00
Patatosa,Pomodoro  Mozzarella  patatine fritte,€5.00